file name | last modified | file size
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q5_diversion_city1p1.tex | 2025-09-28 10:26:55 | 599
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q17_welfare_products_city1p1.tex | 2025-09-28 10:27:08 | 780
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q13_elasticities_city1p1_ivfe.tex | 2025-09-28 10:27:02 | 635
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q13_diversion_city1p1_ivfe.tex | 2025-09-28 10:27:02 | 591
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q16_merger_prices_city1p1.tex | 2025-09-28 10:27:07 | 433
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q17_welfare_summary_city1p1.tex | 2025-09-28 10:27:08 | 403
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q3_ols_ehw.tex | 2025-09-28 10:26:54 | 569
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q11_mc_city1p1_fe.tex | 2025-09-28 10:27:01 | 536
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q14_mc_city1p1_ivfe.tex | 2025-09-28 10:27:04 | 527
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q1_city1_period1_table.tex | 2025-09-28 10:26:52 | 578
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q7_mc_city1p1.tex | 2025-09-28 10:26:56 | 511
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q10_elasticities_city1p1_fe.tex | 2025-09-28 10:26:58 | 639
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q10_diversion_city1p1_fe.tex | 2025-09-28 10:26:58 | 601
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q15_recovered_prices_city1p1.tex | 2025-09-28 10:27:05 | 405
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q10_fe_ols_price.tex | 2025-09-28 10:26:58 | 246
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q13_iv_fe_price.tex | 2025-09-28 10:27:02 | 302
/Users/shiqiyang/Documents/PhD/ECON220A/Homework/Hw1/repo/analysis/output/q4_elasticities_city1p1.tex | 2025-09-28 10:26:55 | 631
